SITE,UNIQUEID,SUBID,SESSION,IMAGE,RAW_PRESENT,SYMLINK,ANAT_REORIENT_PRESENT,ANAT_MNI_PRESENT
BEOEC,BEOEC_0027055_session_1_anat_1,0027055,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027056_session_1_anat_1,0027056,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027057_session_1_anat_1,0027057,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027058_session_1_anat_1,0027058,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027059_session_1_anat_1,0027059,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027060_session_1_anat_1,0027060,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027061_session_1_anat_1,0027061,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027062_session_1_anat_1,0027062,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027063_session_1_anat_1,0027063,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027064_session_1_anat_1,0027064,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027065_session_1_anat_1,0027065,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027066_session_1_anat_1,0027066,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027067_session_1_anat_1,0027067,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027068_session_1_anat_1,0027068,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027069_session_1_anat_1,0027069,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027070_session_1_anat_1,0027070,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027071_session_1_anat_1,0027071,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027072_session_1_anat_1,0027072,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027073_session_1_anat_1,0027073,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027074_session_1_anat_1,0027074,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027075_session_1_anat_1,0027075,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027076_session_1_anat_1,0027076,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027077_session_1_anat_1,0027077,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027078_session_1_anat_1,0027078,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027079_session_1_anat_1,0027079,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027080_session_1_anat_1,0027080,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027081_session_1_anat_1,0027081,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027082_session_1_anat_1,0027082,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027083_session_1_anat_1,0027083,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027084_session_1_anat_1,0027084,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027085_session_1_anat_1,0027085,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027086_session_1_anat_1,0027086,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027087_session_1_anat_1,0027087,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027088_session_1_anat_1,0027088,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027089_session_1_anat_1,0027089,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027090_session_1_anat_1,0027090,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027091_session_1_anat_1,0027091,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027092_session_1_anat_1,0027092,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027093_session_1_anat_1,0027093,session_1,anat_1,Yes,No,Yes,Yes
BEOEC,BEOEC_0027094_session_1_anat_1,0027094,session_1,anat_1,Yes,No,Yes,Yes
