"","subject","site","site.name","session","scan","efc","fber","fwhm","gsr","dvars","quality","global"
"3050",26019,42,"Utah 1",1,1,NA,84.6127886152647,1.72726283951153,0.031884244707537,1.07285253288071,0.01480061125,"All Sites"
"3053",26022,42,"Utah 1",1,1,NA,70.2587528928882,1.78760110808223,0.0332308707908056,1.07085633495662,0.0139000014166667,"All Sites"
"3054",26023,42,"Utah 1",1,1,NA,70.8257039353784,1.87497262054808,0.0495574450341811,1.07478797072583,0.01687216,"All Sites"
"3058",26027,42,"Utah 1",1,1,NA,87.4066156210615,1.87215932559093,0.0384399015326199,1.04977890936282,0.014274631,"All Sites"
"3059",26028,42,"Utah 1",1,1,NA,123.530942542073,1.87294669430535,0.0327370005941654,0.974722976921561,0.0284287229166667,"All Sites"
"3060",26029,42,"Utah 1",1,1,NA,59.3939662243673,1.84981810693747,0.0432968961050805,1.06103334315447,0.015165384375,"All Sites"
"3063",26032,42,"Utah 1",1,1,NA,70.1688647336897,1.75756031581111,0.0362499922439897,1.11695244562101,0.012769344875,"All Sites"
"3071",26040,42,"Utah 1",1,1,NA,74.7724536351786,1.79422174479778,0.0296755888081941,1.0671457148254,0.007781086875,"All Sites"
"3072",26041,42,"Utah 1",1,1,NA,119.848503658086,1.88033970317075,0.023440505123899,1.045600837511,0.0245550858333333,"All Sites"
"3073",26042,42,"Utah 1",1,1,NA,58.9554273540123,1.81311256990216,0.0337950848438145,1.09480029254679,0.00983915649999999,"All Sites"
"3075",26018,42,"Utah 1",2,1,NA,69.393605188439,1.85315618407853,0.031931762978725,1.01988421733342,0.015855142625,"All Sites"
"3076",26019,42,"Utah 1",2,1,NA,88.2333738363644,1.87548868618488,0.0279096144912156,1.06645782990697,0.0116132522916667,"All Sites"
"3079",26022,42,"Utah 1",2,1,NA,52.9941687540748,1.80888967851993,0.0412286742073604,1.05018409672636,0.011430088875,"All Sites"
"3081",26024,42,"Utah 1",2,1,NA,91.4850792772616,1.93540243214347,0.0320481529184158,1.0900937290342,0.00815279933333333,"All Sites"
"3082",26025,42,"Utah 1",2,1,NA,72.4517085188116,1.93492456676974,0.0449289070150367,1.04150669127885,0.0156254070833333,"All Sites"
"3084",26027,42,"Utah 1",2,1,NA,74.285629552088,1.92611901315188,0.0503418797022167,1.06631339339645,0.009047114625,"All Sites"
"3086",26029,42,"Utah 1",2,1,NA,59.9856746232936,1.97824472683689,0.0401784815972426,1.11893359680413,0.00887298129166667,"All Sites"
"3087",26030,42,"Utah 1",2,1,NA,81.4746434302806,1.89940450872316,0.0212743700288491,1.06448232808798,0.00871963425,"All Sites"
"3089",26032,42,"Utah 1",2,1,NA,70.0196594239491,2.00453163590195,0.041462032250431,1.08742934984783,0.00867223629166667,"All Sites"
"3092",26035,42,"Utah 1",2,1,NA,80.7633408428414,1.9021678051339,0.0316617857942637,1.07920167580648,0.0104240632916667,"All Sites"
"3094",26037,42,"Utah 1",2,1,NA,72.5885401233373,1.99401850144765,0.0398793271377008,1.02034985753041,0.0186043030833333,"All Sites"
"3095",26038,42,"Utah 1",2,1,NA,85.341257117027,2.01993089248586,0.0358071916603054,1.07331875364084,0.0102458549166667,"All Sites"
"3096",26039,42,"Utah 1",2,1,NA,69.1487260415955,2.08236023182355,0.0362816325804273,1.024915353013,0.00958814666666667,"All Sites"
"3098",26041,42,"Utah 1",2,1,NA,113.616452392045,1.96431966337483,0.0265880081926634,1.12002408831829,0.00741682033333333,"All Sites"
"3099",26042,42,"Utah 1",2,1,NA,61.0668035898562,1.95073105602951,0.0346698193230402,1.08617354815255,0.011650528875,"All Sites"
"3102",26019,42,"Utah 1",2,2,NA,87.6063583595551,1.8614281092921,0.0273883399430203,1.13971638951964,0.0123343824583333,"All Sites"
"3103",26020,42,"Utah 1",2,2,NA,77.0778923559366,2.03574623456178,0.0326739740448528,1.09263744528569,0.0106049507916667,"All Sites"
"3106",26023,42,"Utah 1",2,2,NA,71.6309247246647,1.96623366775881,0.0360017113229319,1.08588497373846,0.0118894419166667,"All Sites"
"3107",26024,42,"Utah 1",2,2,NA,90.495716030315,1.92763785601958,0.0323990320559411,1.07921524368347,0.009593326625,"All Sites"
"3109",26026,42,"Utah 1",2,2,NA,93.8400049690788,1.87237446704155,0.0427623648362556,1.03095541521403,0.0171931030416667,"All Sites"
"3113",26030,42,"Utah 1",2,2,NA,78.1785556331843,1.89597193524319,0.0211238189036565,1.04826700242982,0.00946574795833334,"All Sites"
"3114",26031,42,"Utah 1",2,2,NA,86.5691075661441,2.00765148014,0.0390301121090275,1.13379702701542,0.00941594775,"All Sites"
"3116",26033,42,"Utah 1",2,2,NA,75.8050450424442,1.99965997629061,0.0324767676975975,1.0337064695904,0.0155612775,"All Sites"
"3122",26039,42,"Utah 1",2,2,NA,70.6192131811149,2.066303218153,0.0345902509146723,1.02723545916636,0.00621230075,"All Sites"
"3124",26041,42,"Utah 1",2,2,NA,111.745500167172,1.96787904154521,0.0270863347293511,1.08412736814129,0.0100609521666667,"All Sites"
