"","subject","site","site.name","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"1","0003001","4","BMB","1",1,0.034,0,"All Sites"
"2","0003001","4","BMB","1",2,0.0407,1.4925,"All Sites"
"3","0003002","4","BMB","1",2,0.0556,0,"All Sites"
"4","0003002","4","BMB","1",1,0.0636,0,"All Sites"
"5","0003004","4","BMB","1",2,0.1058,2.4876,"All Sites"
"6","0003004","4","BMB","1",1,0.1234,3.4826,"All Sites"
"7","0003006","4","BMB","1",2,0.0733,3.9801,"All Sites"
"8","0003006","4","BMB","1",1,0.0744,3.4826,"All Sites"
"9","0003007","4","BMB","1",2,0.06,0,"All Sites"
"10","0003007","4","BMB","1",1,0.0744,2.4876,"All Sites"
"11","0003008","4","BMB","1",1,0.0695,0.4975,"All Sites"
"12","0003008","4","BMB","1",2,0.042,0,"All Sites"
"13","0003009","4","BMB","1",2,0.0627,2.9851,"All Sites"
"14","0003009","4","BMB","1",1,0.0998,6.4677,"All Sites"
"15","0003010","4","BMB","1",2,0.0794,1.99,"All Sites"
"16","0003010","4","BMB","1",1,0.1029,3.9801,"All Sites"
"17","0003011","4","BMB","1",2,0.0751,6.9652,"All Sites"
"18","0003011","4","BMB","1",1,0.0817,4.9751,"All Sites"
"19","0003012","4","BMB","1",1,0.072,0.995,"All Sites"
"20","0003012","4","BMB","1",2,0.0718,0.4975,"All Sites"
"21","0003013","4","BMB","1",2,0.0845,1.4925,"All Sites"
"22","0003013","4","BMB","1",1,0.0844,0.4975,"All Sites"
"23","0003014","4","BMB","1",2,0.0952,4.9751,"All Sites"
"24","0003014","4","BMB","1",1,0.1216,10.4478,"All Sites"
"25","0003015","4","BMB","1",1,0.0911,2.9851,"All Sites"
"26","0003015","4","BMB","1",2,0.0887,2.9851,"All Sites"
"27","0003016","4","BMB","1",1,0.1006,3.9801,"All Sites"
"28","0003016","4","BMB","1",2,0.0843,1.4925,"All Sites"
"29","0003017","4","BMB","1",1,0.1175,9.4527,"All Sites"
"30","0003017","4","BMB","1",2,0.1276,13.4328,"All Sites"
"31","0003018","4","BMB","1",2,0.0903,5.9701,"All Sites"
"32","0003018","4","BMB","1",1,0.0836,0.4975,"All Sites"
"33","0003020","4","BMB","1",2,0.1168,7.9602,"All Sites"
"34","0003020","4","BMB","1",1,0.1077,6.4677,"All Sites"
