uid,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean,site_x,tr,Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson,site_y
0003001_session_1_scan_rest_1_rest,0.6839371975511312,0.73098049685359,0.7852612268179655,4.38886,0.6903183706820056,0.11707711964845655,0.19001680612564087,0.26888309121131904,11.2422,0.14176662266254425,0.3961364626884461,0.6196619272232056,0.7832213044166565,6.4652,0.3907611072063446,BMB_1,2300,0003001_session_1,rest_1_rest,0.008,0.044,0.0,0.003,-0.001,0.061,0.522,0.0232,0.0401,0.0258,0.0365,0.027000000000000003,0.0766,0.001388,-0.000719,0.0006259999999999999,0.000641,0.001197,-0.001703,0.1542,0.1065,0.09300000000000001,0.1031,0.1424,0.2032,0.079838,0.027864,0.038384,0.045822,0.06901,0.077027,0.034,0.0,0.1845,0.0569,0.0,20.3848,0.7623,BMB_1
0003001_session_1_scan_rest_2_rest,0.6835999498143792,0.7345063290558755,0.789048878243193,4.4794,0.6909220493262003,0.1222640424966812,0.19601283967494965,0.2744239509105682,10.9929,0.14569813013076782,0.41889144480228413,0.6219474375247955,0.7856862843036652,6.4450400000000005,0.4039827287197113,BMB_1,2300,0003001_session_1,rest_2_rest,0.011,0.21600000000000005,2.0,0.003,-0.0,0.331,0.51,0.0189,0.1108,0.0444,0.1754,0.0267,0.1536,0.0004860000000000001,5.1e-05,0.000387,0.000865,0.000113,-0.001048,0.0707,0.1325,0.0777,0.2491,0.0472,0.2039,0.035446,0.033693,0.019025,0.058689,0.010794,0.052248,0.0407,3.0,0.2018,0.083,1.4925,20.9412,0.9814,BMB_1
0003002_session_1_scan_rest_2_rest,0.6618410274386406,0.7040861994028091,0.7498518023639917,4.182919999999999,0.6633135114849721,0.105649895966053,0.1733342744410038,0.2436262920498849,11.7909,0.128629669547081,0.3800672590732575,0.5826515555381775,0.7399309098720551,6.7417,0.3744935691356659,BMB_1,2300,0003002_session_1,rest_2_rest,0.017,0.078,0.0,0.004,0.0,0.07400000000000001,0.38,0.023,0.0388,0.0217,0.0566,0.0177,0.1016,0.000753,0.001434,0.000492,-0.000155,0.0007019999999999999,-0.00143,0.0793,0.1815,0.0685,0.0613,0.0788,0.1471,0.026908,0.08231000000000001,0.015125,0.016397,0.030752,0.055005,0.0556,0.0,0.2358,0.0942,0.0,18.4077,1.5463,BMB_1
0003002_session_1_scan_rest_1_rest,0.6650405824184418,0.703141865786165,0.7516344082541764,3.9515300000000004,0.6688528436576281,0.10309064015746117,0.169108796864748,0.2425061523914337,11.7055,0.12726163864135742,0.3773249983787537,0.5909361243247986,0.7606314420700073,6.57763,0.3755136132240296,BMB_1,2300,0003002_session_1,rest_1_rest,0.023,0.083,0.0,0.004,-0.0,0.077,0.407,0.0152,0.0397,0.0195,0.0785,0.0119,0.1004,-0.000161,0.001295,0.00117,-0.000285,0.000218,-0.0017329999999999995,0.0644,0.1412,0.1688,0.0586,0.0792,0.2397,0.026717,0.064988,0.079087,0.020688,0.03746,0.08730299999999999,0.0636,0.0,0.2522,0.1107,0.0,17.8453,1.8338,BMB_1
0003004_session_1_scan_rest_1_rest,0.7074554078280926,0.7543784705922008,0.7940826006233692,4.07177,0.7104981382100841,0.11517080664634705,0.18178582563996315,0.2487184479832649,11.4341,0.1343885362148285,0.4135838150978088,0.6051346063613892,0.7574386596679688,6.07797,0.39338183403015137,BMB_1,2300,0003004_session_1,rest_1_rest,0.031,0.095,0.0,0.006,-0.001,0.128,0.613,0.036000000000000004,0.044000000000000004,0.0212,0.0827,0.0444,0.1595,-0.001068,0.000465,-0.0006940000000000001,0.002238,-0.001186,-0.000934,0.1858,0.0746,0.1106,0.34600000000000003,0.2116,0.149,0.052121,0.028212,0.034453,0.192943,0.060656,0.046235000000000005,0.1234,7.0,0.3512,0.17300000000000001,3.4826,19.6358,4.1403,BMB_1
0003004_session_1_scan_rest_2_rest,0.69557074457407,0.7395015284419059,0.7797714136540891,3.74075,0.7009430876891671,0.09739244729280473,0.1551598608493805,0.2194570153951645,11.4241,0.11784956604242325,0.3773802220821381,0.5719794183969498,0.7309212684631348,5.91705,0.3689337968826294,BMB_1,2300,0003004_session_1,rest_2_rest,0.031,0.125,3.0,0.005,-0.001,0.305,0.802,0.0698,0.1851,0.0671,0.1722,0.0265,0.4102,-0.001898,0.001837,-0.001573,0.000733,-0.001637,-0.000839,0.2506,0.2782,0.2076,0.1957,0.2061,0.2461,0.101301,0.099618,0.08695800000000001,0.020977000000000003,0.080631,0.053166,0.1058,5.0,0.3253,0.1696,2.4876,21.8694,3.6417,BMB_1
0003006_session_1_scan_rest_2_rest,0.6657246360555291,0.7042665886692703,0.7428085412830114,4.01269,0.6646606774203306,0.12601956725120544,0.1919486373662949,0.2586484909057617,11.2504,0.1433357298374176,0.441918820142746,0.6307054162025452,0.7666252255439758,6.45846,0.41647869348526,BMB_1,2300,0003006_session_1,rest_2_rest,0.022,0.14800000000000002,1.0,0.005,-0.001,0.233,0.322,0.0773,0.1316,0.0273,0.1815,0.0355,0.2018,0.000134,-0.000462,8e-05,5.3e-05,1.7e-05,-0.00061,0.0628,0.1458,0.0307,0.17800000000000002,0.048,0.1784,0.008641,0.033203,0.008465,0.038327,0.008012,0.028704,0.0733,8.0,0.2707,0.1399,3.9801,20.1396,2.0161,BMB_1
0003006_session_1_scan_rest_1_rest,0.6827129460871221,0.7210284685716033,0.7593439910560846,3.68448,0.6842778678777024,0.14725153148174286,0.22087229788303372,0.2881236612796784,11.1792,0.1631423979997635,0.5205430388450623,0.6971232295036316,0.8142929077148438,6.51767,0.470973014831543,BMB_1,2300,0003006_session_1,rest_1_rest,0.023,0.261,7.0,0.005,0.0,0.281,0.375,0.0817,0.1729,0.0719,0.1496,0.0573,0.2731,-0.000111,-0.000904,4.2e-05,-0.000102,0.0001,-0.001137,0.0603,0.1374,0.0715,0.1951,0.0431,0.2631,0.010778,0.044635,0.025932,0.040658,0.007114,0.053568,0.0744,7.0,0.2727,0.1571,3.4826,19.083,2.0841,BMB_1
0003008_session_1_scan_rest_1_rest,0.6709564374759793,0.7082317951135337,0.7421184838749468,3.6511400000000003,0.6737431568098944,0.11050698906183244,0.16976840794086456,0.2348760277032852,11.1725,0.1296256184577942,0.3967402577400208,0.5831950008869171,0.7233157277107242,6.5226,0.3815800845623016,BMB_1,2300,0003008_session_1,rest_1_rest,0.014,0.059,0.0,0.006999999999999999,-0.002,0.127,1.599,0.0633,0.0569,0.0538,0.0576,0.1154,0.0861,0.004804,0.004149,0.004517,-0.001324,0.003409,-0.002407,0.6146,0.4577,0.4562,0.1584,0.4266,0.2957,0.307205,0.233227,0.223098,0.054049,0.262221,0.118208,0.0695,1.0,0.2635,0.1236,0.4975,21.938000000000002,1.4148,BMB_1
0003008_session_1_scan_rest_2_rest,0.6577617838047445,0.6958427291829139,0.7373855786863714,4.0294300000000005,0.6583676671410897,0.0992063656449318,0.15700052306056025,0.2212548062205315,11.6461,0.12074963748455048,0.30599239468574524,0.4853504896163941,0.658428430557251,6.37171,0.315620481967926,BMB_1,2300,0003008_session_1,rest_2_rest,0.009000000000000001,0.069,0.0,0.004,-0.001,0.066,0.633,0.022000000000000002,0.0622,0.027000000000000003,0.0466,0.0283,0.07400000000000001,-0.000344,0.002933,0.001922,-0.00034,-0.000463,-0.001165,0.0782,0.3656,0.1977,0.09699999999999999,0.0852,0.135,0.018934,0.154942,0.085109,0.025394,0.014988,0.060017,0.042,0.0,0.2048,0.0688,0.0,21.8469,0.8635,BMB_1
