Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_1_rest,0.018000000000000002,0.081,0.0,0.006999999999999999,0.002,0.15,0.785,0.0356,0.0805,0.0227,0.0812,0.0411,0.1275,-0.0020350000000000004,0.003092,-0.0008869999999999999,-0.0008619999999999999,-0.002292,-0.001342,0.1786,0.3062,0.097,0.1412,0.2172,0.2139,0.09625399999999999,0.167508,0.050013999999999996,0.044452,0.121735,0.067214,0.0872,1.0,0.2952,0.1262,0.641,24.0128,2.2297
0026017_session_3,rest_1_rest,0.027000000000000003,0.07400000000000001,0.0,0.006,-0.004,0.111,0.966,0.0276,0.0858,0.0198,0.1241,0.0402,0.1065,-0.001898,0.0037770000000000004,-0.000395,0.00019099999999999998,-0.001407,-0.002785,0.1897,0.4094,0.0638,0.1353,0.1588,0.3776,0.05295,0.103397,0.018621000000000002,0.049848,0.059183000000000006,0.05885,0.1069,2.0,0.327,0.1534,1.2821,26.1804,2.9548
0026017_session_7,rest_1_rest,0.023,0.073,0.0,0.005,-0.001,0.10099999999999999,0.61,0.0304,0.0955,0.0268,0.0569,0.048,0.072,-0.0016489999999999999,-3.8e-05,-0.0017050000000000001,-0.001247,-0.002614,-0.000398,0.1738,0.0765,0.1696,0.1641,0.2796,0.103,0.036437,0.021426,0.047800999999999996,0.074505,0.057119,0.041065,0.0716,1.0,0.2675,0.1154,0.641,23.531,1.7472
0026017_session_2,rest_1_rest,0.025,0.166,1.0,0.004,-0.0,0.183,0.406,0.0394,0.0868,0.0847,0.0625,0.0574,0.1963,-0.00037799999999999997,-0.000897,7.5e-05,0.000103,9.2e-05,-0.000709,0.0804,0.1289,0.0754,0.0944,0.0835,0.2218,0.042289,0.018647999999999998,0.034813,0.029102999999999997,0.040012,0.058566,0.0773,4.0,0.278,0.1412,2.5641,24.5895,2.0266
0026017_session_10,rest_1_rest,0.031,0.147,2.0,0.005,0.0,0.205,0.47600000000000003,0.0418,0.0371,0.0761,0.1817,0.0802,0.1307,-0.001227,0.000266,-0.0005,-0.000562,-0.001194,-0.0006259999999999999,0.1071,0.1135,0.0721,0.2634,0.1146,0.1126,0.035607,0.043559,0.010674,0.065648,0.036701,0.035795999999999994,0.1147,3.0,0.3387,0.1702,1.9231,24.5951,3.244
0026017_session_1,rest_1_rest,0.024,0.079,0.0,0.005,-0.001,0.083,0.516,0.0307,0.0521,0.0403,0.1185,0.0398,0.0978,-0.001666,0.0010710000000000001,-0.0011769999999999999,0.000463,-0.002306,-0.000266,0.1612,0.0901,0.1195,0.1295,0.2295,0.1069,0.058418,0.030772000000000004,0.043354000000000004,0.041063,0.078192,0.029878,0.1046,2.0,0.3235,0.1653,1.2821,26.089,3.0265
0026017_session_6,rest_1_rest,0.03,0.114,2.0,0.005,-0.004,0.193,0.833,0.0408,0.1117,0.0268,0.123,0.086,0.1984,0.000758,-0.002577,-0.001001,7.3e-05,0.0008039999999999999,0.0017079999999999999,0.119,0.4182,0.1185,0.1242,0.1201,0.3398,0.024789,0.054204999999999996,0.054315999999999996,0.05293,0.025172,0.06696,0.0818,3.0,0.2859,0.1435,1.9231,22.6043,2.1406
0026017_session_5,rest_1_rest,0.035,0.128,2.0,0.005,-0.002,0.251,0.74,0.0794,0.0622,0.0471,0.1112,0.0501,0.1707,-0.001991,0.001295,-0.000327,0.002868,-0.002055,-0.00025499999999999996,0.2465,0.1845,0.071,0.3173,0.267,0.1267,0.030974,0.075544,0.013212,0.077543,0.033964999999999995,0.039626,0.0991,2.0,0.3148,0.1562,1.2821,23.5948,2.6892
0026017_session_8,rest_1_rest,0.019,0.07400000000000001,0.0,0.003,-0.0,0.136,0.513,0.0244,0.0688,0.0157,0.1095,0.0302,0.107,-0.0016600000000000002,0.00151,-0.0017350000000000002,-0.0012900000000000001,-0.001827,-0.001041,0.1326,0.1421,0.15,0.1136,0.1626,0.1376,0.07205399999999999,0.054033000000000005,0.063314,0.046363,0.085154,0.043539,0.0678,2.0,0.2603,0.1157,1.2821,23.2801,1.9667
0026017_session_9,rest_1_rest,0.021,0.115,1.0,0.003,-0.001,0.09699999999999999,0.595,0.027,0.0356,0.0247,0.1342,0.0469,0.0844,-0.001027,0.000288,-0.0012289999999999998,-0.001924,-0.001997,-0.0008359999999999999,0.1238,0.0534,0.1478,0.263,0.2375,0.2291,0.047889999999999995,0.024297,0.046598,0.09881799999999999,0.061541,0.057405,0.0561,1.0,0.2368,0.0986,0.641,24.0832,1.5817
0026018_session_1,rest_1_rest,0.018000000000000002,0.069,0.0,0.01,-0.001,0.12,0.466,0.0303,0.0638,0.0321,0.097,0.0277,0.0779,5.2000000000000004e-05,-0.001326,-0.000768,0.00035,-0.00018600000000000002,-0.000166,0.0315,0.2348,0.1382,0.1028,0.0498,0.0468,0.008138,0.06919600000000001,0.046943,0.029358,0.015784,0.01515,0.0923,0.0,0.3038,0.1438,0.0,25.1756,2.2498
0026018_session_2,rest_1_rest,0.034,0.133,6.0,0.015,-0.002,0.469,1.317,0.0781,0.2709,0.0874,0.1536,0.1663,0.1642,-0.000544,0.001725,0.000343,0.000277,-0.000103,-0.000657,0.1534,0.6754,0.1451,0.2737,0.1491,0.3211,0.046153,0.384844,0.04765,0.12747999999999998,0.055562,0.12113199999999999,0.1435,37.0,0.3788,0.2383,15.3527,25.0632,3.3301
0026019_session_1,rest_1_rest,0.032,0.511,16.0,0.01,-0.0,1.189,1.6740000000000002,0.0535,0.4454,0.1437,0.5104,0.0804,0.1364,-0.000338,-0.0011949999999999999,0.000767,0.00266,-0.00046699999999999997,-0.000197,0.0809,0.581,0.1761,0.7321,0.1293,0.1266,0.022969,0.08454099999999999,0.046474,0.14997,0.049472,0.022612,0.1069,21.0,0.3269,0.2634,8.7137,28.9526,2.6203
0026019_session_2,rest_1_rest,0.017,0.188,3.0,0.006,0.0,0.281,0.7390000000000001,0.0946,0.1923,0.0858,0.251,0.1263,0.1535,-0.000367,-0.000398,0.000127,-0.000424,0.000602,-0.00016299999999999998,0.1832,0.3276,0.2145,0.2898,0.2951,0.196,0.03815,0.064586,0.061628999999999996,0.07059299999999999,0.042524,0.038957,0.0734,15.0,0.271,0.1644,6.2241,24.5799,1.7328
0026020_session_1,rest_1_rest,0.064,2.237,22.0,0.018000000000000002,-0.005,3.873,4.901,0.1939,1.7448,0.1721,2.1197,0.1766,0.9904,-0.001429,0.0026739999999999997,0.000495,0.00266,-0.0017870000000000002,-0.002539,0.3192,1.3775,0.1502,2.551,0.404,0.9763,0.10314000000000001,0.362885,0.067754,0.29702,0.101186,0.290375,0.1979,35.0,0.4449,0.5632,14.5228,30.4089,4.5417
0026020_session_2,rest_1_rest,0.061,0.322,33.0,0.02,0.002,1.217,2.053,0.2532,0.7876,0.3003,0.5247,0.2014,0.1962,-0.001418,-0.000479,-0.001201,0.0036340000000000005,-0.0017100000000000001,-0.000696,0.3098,1.0178,0.2292,0.6813,0.3333,0.1907,0.061926999999999996,0.17441700000000002,0.066379,0.24999200000000002,0.063157,0.06362899999999999,0.1959,55.0,0.4426,0.4609,22.8216,28.7777,4.3837
0026021_session_1,rest_1_rest,0.028999999999999998,0.22399999999999998,7.0,0.012,-0.001,0.341,1.084,0.0763,0.1314,0.065,0.2684,0.0929,0.1089,0.000951,0.001497,0.001936,-0.000134,8.2e-05,0.000525,0.2368,0.5055,0.3666,0.2831,0.1112,0.1101,0.086226,0.203805,0.112153,0.056895,0.032601,0.028901,0.1245,26.0,0.3529,0.2135,10.7884,29.0635,2.8171
