Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026017_session_4,rest_1_rest,0.018,0.081,0.000,0.007,0.002,0.150,0.785,0.035600,0.080500,0.022700,0.081200,0.041100,0.127500,-0.002035,0.003092,-0.000887,-0.000862,-0.002292,-0.001342,0.178600,0.306200,0.097000,0.141200,0.217200,0.213900,0.096254,0.167508,0.050014,0.044452,0.121735,0.067214,0.0872,1.0000,0.2952,0.1262,0.6410,24.0128,2.2297,
0026017_session_3,rest_1_rest,0.027,0.074,0.000,0.006,-0.004,0.111,0.966,0.027600,0.085800,0.019800,0.124100,0.040200,0.106500,-0.001898,0.003777,-0.000395,0.000191,-0.001407,-0.002785,0.189700,0.409400,0.063800,0.135300,0.158800,0.377600,0.052950,0.103397,0.018621,0.049848,0.059183,0.058850,0.1069,2.0000,0.3270,0.1534,1.2821,26.1804,2.9548,
0026017_session_7,rest_1_rest,0.023,0.073,0.000,0.005,-0.001,0.101,0.610,0.030400,0.095500,0.026800,0.056900,0.048000,0.072000,-0.001649,-0.000038,-0.001705,-0.001247,-0.002614,-0.000398,0.173800,0.076500,0.169600,0.164100,0.279600,0.103000,0.036437,0.021426,0.047801,0.074505,0.057119,0.041065,0.0716,1.0000,0.2675,0.1154,0.6410,23.5310,1.7472,
0026017_session_2,rest_1_rest,0.025,0.166,1.000,0.004,-0.000,0.183,0.406,0.039400,0.086800,0.084700,0.062500,0.057400,0.196300,-0.000378,-0.000897,0.000075,0.000103,0.000092,-0.000709,0.080400,0.128900,0.075400,0.094400,0.083500,0.221800,0.042289,0.018648,0.034813,0.029103,0.040012,0.058566,0.0773,4.0000,0.2780,0.1412,2.5641,24.5895,2.0266,
0026017_session_10,rest_1_rest,0.031,0.147,2.000,0.005,0.000,0.205,0.476,0.041800,0.037100,0.076100,0.181700,0.080200,0.130700,-0.001227,0.000266,-0.000500,-0.000562,-0.001194,-0.000626,0.107100,0.113500,0.072100,0.263400,0.114600,0.112600,0.035607,0.043559,0.010674,0.065648,0.036701,0.035796,0.1147,3.0000,0.3387,0.1702,1.9231,24.5951,3.2440,
0026017_session_1,rest_1_rest,0.024,0.079,0.000,0.005,-0.001,0.083,0.516,0.030700,0.052100,0.040300,0.118500,0.039800,0.097800,-0.001666,0.001071,-0.001177,0.000463,-0.002306,-0.000266,0.161200,0.090100,0.119500,0.129500,0.229500,0.106900,0.058418,0.030772,0.043354,0.041063,0.078192,0.029878,0.1046,2.0000,0.3235,0.1653,1.2821,26.0890,3.0265,
0026017_session_6,rest_1_rest,0.030,0.114,2.000,0.005,-0.004,0.193,0.833,0.040800,0.111700,0.026800,0.123000,0.086000,0.198400,0.000758,-0.002577,-0.001001,0.000073,0.000804,0.001708,0.119000,0.418200,0.118500,0.124200,0.120100,0.339800,0.024789,0.054205,0.054316,0.052930,0.025172,0.066960,0.0818,3.0000,0.2859,0.1435,1.9231,22.6043,2.1406,
0026017_session_5,rest_1_rest,0.035,0.128,2.000,0.005,-0.002,0.251,0.740,0.079400,0.062200,0.047100,0.111200,0.050100,0.170700,-0.001991,0.001295,-0.000327,0.002868,-0.002055,-0.000255,0.246500,0.184500,0.071000,0.317300,0.267000,0.126700,0.030974,0.075544,0.013212,0.077543,0.033965,0.039626,0.0991,2.0000,0.3148,0.1562,1.2821,23.5948,2.6892,
0026017_session_8,rest_1_rest,0.019,0.074,0.000,0.003,-0.000,0.136,0.513,0.024400,0.068800,0.015700,0.109500,0.030200,0.107000,-0.001660,0.001510,-0.001735,-0.001290,-0.001827,-0.001041,0.132600,0.142100,0.150000,0.113600,0.162600,0.137600,0.072054,0.054033,0.063314,0.046363,0.085154,0.043539,0.0678,2.0000,0.2603,0.1157,1.2821,23.2801,1.9667,
0026017_session_9,rest_1_rest,0.021,0.115,1.000,0.003,-0.001,0.097,0.595,0.027000,0.035600,0.024700,0.134200,0.046900,0.084400,-0.001027,0.000288,-0.001229,-0.001924,-0.001997,-0.000836,0.123800,0.053400,0.147800,0.263000,0.237500,0.229100,0.047890,0.024297,0.046598,0.098818,0.061541,0.057405,0.0561,1.0000,0.2368,0.0986,0.6410,24.0832,1.5817,
0026018_session_1,rest_1_rest,0.018,0.069,0.000,0.010,-0.001,0.120,0.466,0.030300,0.063800,0.032100,0.097000,0.027700,0.077900,0.000052,-0.001326,-0.000768,0.000350,-0.000186,-0.000166,0.031500,0.234800,0.138200,0.102800,0.049800,0.046800,0.008138,0.069196,0.046943,0.029358,0.015784,0.015150,0.0923,0.0000,0.3038,0.1438,0.0000,25.1756,2.2498,
0026018_session_2,rest_1_rest,0.034,0.133,6.000,0.015,-0.002,0.469,1.317,0.078100,0.270900,0.087400,0.153600,0.166300,0.164200,-0.000544,0.001725,0.000343,0.000277,-0.000103,-0.000657,0.153400,0.675400,0.145100,0.273700,0.149100,0.321100,0.046153,0.384844,0.047650,0.127480,0.055562,0.121132,0.1435,37.0000,0.3788,0.2383,15.3527,25.0632,3.3301,
0026019_session_1,rest_1_rest,0.032,0.511,16.000,0.010,-0.000,1.189,1.674,0.053500,0.445400,0.143700,0.510400,0.080400,0.136400,-0.000338,-0.001195,0.000767,0.002660,-0.000467,-0.000197,0.080900,0.581000,0.176100,0.732100,0.129300,0.126600,0.022969,0.084541,0.046474,0.149970,0.049472,0.022612,0.1069,21.0000,0.3269,0.2634,8.7137,28.9526,2.6203,
0026019_session_2,rest_1_rest,0.017,0.188,3.000,0.006,0.000,0.281,0.739,0.094600,0.192300,0.085800,0.251000,0.126300,0.153500,-0.000367,-0.000398,0.000127,-0.000424,0.000602,-0.000163,0.183200,0.327600,0.214500,0.289800,0.295100,0.196000,0.038150,0.064586,0.061629,0.070593,0.042524,0.038957,0.0734,15.0000,0.2710,0.1644,6.2241,24.5799,1.7328,
0026020_session_1,rest_1_rest,0.064,2.237,22.000,0.018,-0.005,3.873,4.901,0.193900,1.744800,0.172100,2.119700,0.176600,0.990400,-0.001429,0.002674,0.000495,0.002660,-0.001787,-0.002539,0.319200,1.377500,0.150200,2.551000,0.404000,0.976300,0.103140,0.362885,0.067754,0.297020,0.101186,0.290375,0.1979,35.0000,0.4449,0.5632,14.5228,30.4089,4.5417,
0026020_session_2,rest_1_rest,0.061,0.322,33.000,0.020,0.002,1.217,2.053,0.253200,0.787600,0.300300,0.524700,0.201400,0.196200,-0.001418,-0.000479,-0.001201,0.003634,-0.001710,-0.000696,0.309800,1.017800,0.229200,0.681300,0.333300,0.190700,0.061927,0.174417,0.066379,0.249992,0.063157,0.063629,0.1959,55.0000,0.4426,0.4609,22.8216,28.7777,4.3837,
0026021_session_1,rest_1_rest,0.029,0.224,7.000,0.012,-0.001,0.341,1.084,0.076300,0.131400,0.065000,0.268400,0.092900,0.108900,0.000951,0.001497,0.001936,-0.000134,0.000082,0.000525,0.236800,0.505500,0.366600,0.283100,0.111200,0.110100,0.086226,0.203805,0.112153,0.056895,0.032601,0.028901,0.1245,26.0000,0.3529,0.2135,10.7884,29.0635,2.8171,
0026021_session_2,rest_1_rest,0.016,0.138,1.000,0.005,-0.001,0.220,0.438,0.036800,0.086000,0.064100,0.081900,0.053900,0.129200,-0.000393,0.000989,-0.000475,-0.000098,0.000115,-0.000426,0.094400,0.177000,0.120100,0.145200,0.124600,0.139600,0.052620,0.115978,0.040518,0.049041,0.044989,0.029592,0.0599,2.0000,0.2447,0.1024,0.8299,28.3025,1.4368,
0026022_session_1,rest_1_rest,0.050,1.072,21.000,0.018,0.001,1.428,3.452,0.304600,0.879800,0.177000,1.077400,0.124400,0.598200,-0.000268,-0.000885,-0.000669,-0.000158,-0.000826,-0.000121,0.240700,1.533500,0.206800,1.792000,0.250400,0.920100,0.034315,0.222974,0.071994,0.127655,0.102854,0.043950,0.1812,30.0000,0.4257,0.5062,12.4481,28.3527,4.1665,
0026022_session_2,rest_1_rest,0.018,0.082,0.000,0.005,0.000,0.079,0.382,0.028600,0.062800,0.060700,0.075000,0.065100,0.048200,-0.000013,-0.000072,-0.000179,-0.002086,-0.000270,-0.000818,0.042700,0.057500,0.077400,0.332700,0.105600,0.136300,0.010381,0.014544,0.040053,0.152150,0.033595,0.066270,0.0687,2.0000,0.2620,0.1125,0.8299,25.4151,1.4654,
0026023_session_1,rest_1_rest,0.036,0.275,15.000,0.010,-0.004,0.881,2.128,0.087400,0.537200,0.075800,0.280000,0.122500,0.144800,0.000062,-0.006112,-0.000221,0.002944,-0.001684,0.001213,0.238200,0.902800,0.152100,0.541000,0.282200,0.207700,0.052735,0.321681,0.036150,0.220957,0.055807,0.065369,0.1406,40.0000,0.3749,0.2739,16.5975,34.0733,3.2540,
0026023_session_2,rest_1_rest,0.026,0.106,1.000,0.006,-0.000,0.282,0.615,0.040700,0.133500,0.059500,0.118800,0.077900,0.103800,-0.000067,0.000072,0.000157,-0.001018,-0.000385,-0.000608,0.058800,0.175500,0.063200,0.331500,0.117700,0.102000,0.017120,0.046292,0.015180,0.097151,0.037160,0.029990,0.0940,6.0000,0.3066,0.1447,2.4896,25.9092,2.5304,
0026024_session_1,rest_1_rest,0.014,0.096,0.000,0.005,-0.000,0.194,0.252,0.084400,0.134700,0.064100,0.131100,0.059300,0.193200,0.000071,0.000263,0.000009,-0.000008,0.000028,-0.000059,0.056800,0.086900,0.038300,0.109600,0.030000,0.115000,0.009982,0.021450,0.010719,0.016825,0.004830,0.021641,0.0700,10.0000,0.2647,0.1317,4.1494,13.8208,1.5058,
0026024_session_2,rest_1_rest,0.025,0.166,3.000,0.004,-0.001,0.265,0.487,0.054000,0.173100,0.030900,0.285300,0.121700,0.144000,-0.000416,-0.000251,-0.000560,0.000455,-0.000296,-0.001162,0.087900,0.169900,0.091900,0.228700,0.147000,0.189200,0.027620,0.040613,0.031013,0.064962,0.049210,0.047615,0.0882,8.0000,0.2970,0.1513,3.3195,27.5462,2.8429,
0026025_session_1,rest_1_rest,0.020,0.065,0.000,0.008,0.000,0.135,0.396,0.043200,0.077600,0.037200,0.083000,0.031300,0.081100,0.000089,0.001101,0.000124,-0.000376,0.000030,-0.000360,0.050600,0.200200,0.032300,0.123800,0.037200,0.068200,0.012724,0.092555,0.009009,0.047763,0.012452,0.020257,0.1006,12.0000,0.3172,0.1771,4.9793,24.7505,1.8498,
0026025_session_2,rest_1_rest,0.035,0.509,16.000,0.019,-0.003,1.192,1.730,0.483100,0.536700,0.358900,0.589000,0.847600,0.085400,-0.000144,-0.004281,0.000810,0.001483,-0.000827,-0.000008,0.392100,0.726800,0.297100,0.664900,0.683400,0.075900,0.027317,0.251518,0.052988,0.190063,0.075875,0.023320,0.1589,28.0000,0.3986,0.3278,11.6183,26.2807,3.4266,
