Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
3201815_session_1,rest_645_1_rest,0.039,0.200,36.000,0.006,0.000,0.388,1.762,0.033700,0.105300,0.028800,0.224600,0.033000,0.175500,-0.000287,0.001440,-0.000032,-0.000089,-0.000198,-0.000814,0.164900,0.836900,0.054600,0.310300,0.158400,0.428500,0.089081,0.355141,0.017439,0.068572,0.054609,0.190745,0.0915,23.0000,0.3025,0.1611,2.5527,34.7995,2.9763,
0021001_session_1,rest_645_1_rest,0.047,0.526,101.000,0.014,0.001,1.396,2.143,0.102200,0.788900,0.149400,0.507100,0.181900,0.251500,0.000123,0.000744,0.000188,-0.000363,0.000179,-0.000417,0.146500,1.211200,0.205400,0.587500,0.221900,0.279500,0.032823,0.164423,0.054986,0.117560,0.050456,0.100182,0.1623,222.0000,0.4028,0.3347,24.6393,32.6310,4.4780,
0021002_session_1,rest_645_1_rest,0.019,0.096,0.000,0.007,-0.000,0.180,0.671,0.041000,0.091500,0.056200,0.085600,0.039500,0.049200,-0.000247,-0.000530,-0.000037,-0.000098,-0.000070,0.000251,0.182000,0.282600,0.138100,0.320600,0.113500,0.162000,0.104050,0.091821,0.031738,0.108270,0.063487,0.073665,0.0666,1.0000,0.2581,0.1094,0.1111,25.9064,1.3435,
0021018_session_1,rest_645_1_rest,0.015,0.068,0.000,0.004,-0.001,0.112,1.953,0.015300,0.040900,0.015500,0.083300,0.012800,0.113000,-0.000134,0.001768,-0.000194,-0.001123,-0.000150,-0.000741,0.131500,0.884000,0.153000,0.604100,0.122100,0.406500,0.070276,0.385803,0.048371,0.230772,0.060811,0.184191,0.0816,1.0000,0.2857,0.1372,0.1111,25.7541,2.6318,
2475376_session_1,rest_645_1_rest,0.022,0.141,3.000,0.008,-0.000,0.200,0.739,0.102100,0.104700,0.084300,0.136900,0.080000,0.196000,0.000119,0.000284,-0.000062,-0.000983,0.000109,-0.000367,0.095500,0.163600,0.120400,0.535700,0.104200,0.236700,0.036384,0.073319,0.022113,0.189670,0.026147,0.074982,0.0907,15.0000,0.3011,0.1489,1.6648,28.7662,2.6980,
1427581_session_1,rest_645_1_rest,0.020,0.124,3.000,0.005,-0.000,1.049,1.775,0.069600,0.655800,0.106400,0.125900,0.022100,0.389200,-0.000299,-0.000532,0.000347,-0.000289,-0.000011,-0.000121,0.203000,1.010800,0.299600,0.326800,0.043500,0.209100,0.062023,0.131511,0.144286,0.156029,0.021503,0.046101,0.0870,13.0000,0.2949,0.1496,1.4428,29.1866,3.0890,
1961098_session_1,rest_645_1_rest,0.038,0.774,36.000,0.010,0.001,1.356,2.358,0.092600,0.513400,0.209800,1.024700,0.094700,0.317600,-0.000360,0.001507,0.000194,-0.001022,-0.000118,-0.000459,0.309100,0.927300,0.302400,1.109400,0.187700,0.323300,0.047698,0.252568,0.046777,0.221391,0.045747,0.067630,0.1367,127.0000,0.3697,0.2608,14.0954,29.9555,3.8225,
1793622_session_1,rest_645_1_rest,0.042,0.282,89.000,0.006,-0.000,0.545,0.728,0.027500,0.224000,0.051200,0.407600,0.046000,0.184700,0.000086,0.000085,0.000162,-0.000868,0.000117,-0.000376,0.068200,0.189300,0.114700,0.518100,0.075300,0.283000,0.027710,0.039394,0.027595,0.149513,0.029674,0.093849,0.1105,100.0000,0.3324,0.2171,11.0988,31.7408,3.7188,
0021024_session_1,rest_645_1_rest,0.022,0.283,18.000,0.008,-0.000,0.497,1.851,0.153300,0.237000,0.128900,0.308400,0.253000,0.254500,-0.000185,0.000302,-0.000097,0.000132,-0.000283,-0.000124,0.148800,0.792300,0.402000,0.499800,0.394300,0.508200,0.063083,0.160194,0.084343,0.081713,0.133607,0.072803,0.0947,57.0000,0.3077,0.1808,6.3333,28.8139,2.1835,
0021006_session_1,rest_645_1_rest,0.026,0.124,4.000,0.004,-0.000,0.215,0.497,0.029700,0.146800,0.031600,0.112300,0.074400,0.141100,-0.000110,0.000097,0.000043,-0.000218,0.000117,-0.000564,0.069700,0.179500,0.070100,0.192700,0.141200,0.417500,0.025488,0.055976,0.015472,0.047258,0.034242,0.114564,0.0684,6.0000,0.2615,0.1096,0.6659,31.2870,2.0533,
2799329_session_1,rest_645_1_rest,0.058,0.635,123.000,0.012,-0.000,2.216,3.973,0.119400,1.208400,0.219600,0.714100,0.108900,0.608300,0.000157,-0.000145,0.000177,-0.000866,0.000150,0.000103,0.286600,2.001700,0.309500,1.153100,0.161700,0.557400,0.038916,0.084835,0.055146,0.204699,0.026357,0.047000,0.1615,208.0000,0.4019,0.3333,23.0855,28.9800,4.6298,
2842950_session_1,rest_645_1_rest,0.092,0.395,360.000,0.010,-0.001,0.595,1.672,0.034800,0.273800,0.062300,0.499100,0.029200,0.179900,0.000045,-0.000446,-0.000002,0.000367,0.000166,-0.000354,0.062300,0.500800,0.063900,0.653100,0.157100,0.319700,0.010211,0.104948,0.013333,0.158575,0.016044,0.047803,0.1867,377.0000,0.4321,0.3486,41.8424,38.4065,7.0246,
3313349_session_1,rest_645_1_rest,0.058,4.367,86.000,0.011,0.002,5.561,9.423,0.646400,0.949800,0.398800,4.540700,0.426300,0.648600,-0.000389,-0.000251,-0.000778,0.002588,-0.001127,-0.000950,0.560600,1.419100,0.912200,6.967600,1.040500,0.681100,0.203262,0.307607,0.268876,0.833420,0.411566,0.158118,0.1536,135.0000,0.3919,0.4162,14.9834,35.2599,3.9383,
3315657_session_1,rest_645_1_rest,0.014,0.112,1.000,0.010,-0.000,0.543,1.675,0.076000,0.283500,0.054400,0.152100,0.061300,0.123600,-0.000568,0.001321,-0.000231,-0.000105,-0.000587,-0.000270,0.289200,0.728200,0.139800,0.364000,0.297000,0.228600,0.138282,0.313731,0.043669,0.101863,0.132240,0.056308,0.0763,11.0000,0.2762,0.1280,1.2222,38.8689,1.5562,
3795193_session_1,rest_645_1_rest,0.080,0.914,261.000,0.015,0.001,2.640,5.532,0.203700,1.181100,0.217800,0.962300,0.130100,0.812900,-0.000144,0.000324,0.000245,-0.000193,0.000134,-0.000238,0.208600,1.885600,0.451000,1.962000,0.292300,1.016300,0.039951,0.177013,0.120724,0.271447,0.073187,0.061339,0.2054,343.0000,0.4532,0.4442,38.0688,39.4502,6.0771,
3808535_session_1,rest_645_1_rest,0.015,0.443,4.000,0.005,-0.000,1.101,2.076,0.080200,0.340000,0.115900,0.446200,0.064200,0.091600,-0.000109,0.000112,-0.000054,-0.000090,-0.000074,-0.000184,0.057900,0.674400,0.130500,0.818400,0.061400,0.134900,0.015579,0.041136,0.017858,0.054095,0.013981,0.041776,0.0620,5.0000,0.2491,0.1132,0.5549,28.3731,1.6590,
3893245_session_1,rest_645_1_rest,0.052,0.262,116.000,0.008,-0.001,0.567,1.030,0.382700,0.314400,0.177300,0.266200,0.263500,0.417700,-0.000059,0.000296,-0.000143,0.000368,-0.000011,-0.000326,0.370400,0.367900,0.189700,0.528800,0.247500,0.399500,0.071908,0.080670,0.055242,0.140832,0.070933,0.116306,0.1469,186.0000,0.3832,0.2678,20.6437,38.8166,4.4850,
4176156_session_1,rest_645_1_rest,0.035,0.123,16.000,0.004,-0.000,0.164,0.485,0.024700,0.046400,0.025600,0.123200,0.025000,0.147700,-0.000017,0.000185,-0.000157,-0.000151,-0.000138,0.000001,0.047800,0.182300,0.105500,0.235600,0.088100,0.125600,0.017958,0.059184,0.049002,0.086498,0.039604,0.037555,0.0995,23.0000,0.3154,0.1627,2.5527,28.4690,3.2066,
4288245_session_1,rest_645_1_rest,0.132,0.644,424.000,0.032,-0.007,1.495,6.556,0.086600,0.398600,0.104700,0.763200,0.048700,0.199900,-0.000345,-0.002769,0.000359,0.001214,-0.000086,-0.000236,0.312600,2.458000,0.339800,1.381700,0.189200,0.242000,0.053830,0.196785,0.047781,0.240378,0.035174,0.059320,0.3288,513.0000,0.5734,0.7243,56.9367,46.3406,10.7756,
