"","session","scan"
"1",1,1
"2",1,2
"79",1,3
"80",1,4
"879",1,5
"880",1,6
"2957",1,7
"2958",1,8
"2959",1,9
"2951",1,10
"123",1,645
"121",1,1400
"122",1,2500
"153",2,1
"154",2,2
"2656",2,3
"2974",2,4
"2975",2,5
"2976",2,6
"2977",2,7
"2978",2,8
"2979",2,9
"2971",2,10
"126",2,645
"124",2,1400
"125",2,2500
"242",3,1
"243",3,2
"2659",3,3
"2984",3,4
"2985",3,5
"2986",3,6
"2987",3,7
"2988",3,8
"2989",3,9
"2981",3,10
"1245",4,1
"2661",4,2
"2662",4,3
"2994",4,4
"2995",4,5
"2996",4,6
"2997",4,7
"2998",4,8
"2999",4,9
"2991",4,10
"1246",5,1
"2664",5,2
"3003",5,3
"3004",5,4
"3005",5,5
"3006",5,6
"3007",5,7
"3008",5,8
"3009",5,9
"3001",5,10
"1247",6,1
"3012",6,2
"3013",6,3
"3014",6,4
"3015",6,5
"3016",6,6
"3017",6,7
"3018",6,8
"3019",6,9
"3011",6,10
"1248",7,1
"3022",7,2
"3023",7,3
"3024",7,4
"3025",7,5
"3026",7,6
"3027",7,7
"3028",7,8
"3029",7,9
"3021",7,10
"1249",8,1
"3032",8,2
"3033",8,3
"3034",8,4
"3035",8,5
"3036",8,6
"3037",8,7
"3038",8,8
"3039",8,9
"3031",8,10
"1250",9,1
"3042",9,2
"3043",9,3
"3044",9,4
"3045",9,5
"3046",9,6
"3047",9,7
"3048",9,8
"3049",9,9
"3041",9,10
"1242",10,1
"2962",10,2
"2963",10,3
"2964",10,4
"2965",10,5
"2966",10,6
"2967",10,7
"2968",10,8
"2969",10,9
"2961",10,10
"3134",11,1
"3135",11,2
"3136",11,3
"3137",12,1
"3138",12,2
"3139",12,3
"3140",13,1
"3141",13,2
"3142",13,3
"3143",14,1
"3144",14,2
"3145",14,3
"3146",15,1
"3147",15,2
"3148",15,3
