"","subject","session","scan"
"1","0003001",1,1
"2","0003001",1,2
"3","0003002",1,1
"4","0003002",1,2
"5","0003004",1,1
"6","0003004",1,2
"7","0003006",1,1
"8","0003006",1,2
"9","0003007",1,1
"10","0003007",1,2
"11","0003008",1,1
"12","0003008",1,2
"13","0003009",1,1
"14","0003009",1,2
"15","0003010",1,1
"16","0003010",1,2
"17","0003011",1,1
"18","0003011",1,2
"19","0003012",1,1
"20","0003012",1,2
"21","0003013",1,1
"22","0003013",1,2
"23","0003014",1,1
"24","0003014",1,2
"25","0003015",1,1
"26","0003015",1,2
"27","0003016",1,1
"28","0003016",1,2
"29","0003017",1,1
"30","0003017",1,2
"31","0003018",1,1
"32","0003018",1,2
"33","0003020",1,1
"34","0003020",1,2
"35","0003021",1,1
"36","0003021",1,2
"37","0003022",1,1
"38","0003022",1,2
"39","0003023",1,1
"40","0003023",1,2
"41","0003024",1,1
"42","0003024",1,2
"43","0003025",1,1
"44","0003025",1,2
"45","0003026",1,1
"46","0003026",1,2
"47","0003032",1,1
"48","0003032",1,2
"49","0003033",1,1
"50","0003033",1,2
"51","0003034",1,1
"52","0003034",1,2
"53","0003036",1,1
"54","0003036",1,2
"55","0003037",1,1
"56","0003037",1,2
"57","0003038",1,1
"58","0003038",1,2
"59","0003039",1,1
"60","0003039",1,2
"61","0003040",1,1
"62","0003040",1,2
"63","0003041",1,1
"64","0003041",1,2
"65","0003042",1,1
"66","0003042",1,2
"67","0003044",1,1
"68","0003044",1,2
"69","0003045",1,1
"70","0003045",1,2
"71","0003047",1,1
"72","0003047",1,2
"73","0003049",1,1
"74","0003049",1,2
"75","0003050",1,1
"76","0003050",1,2
"77","0003051",1,1
"78","0003051",1,2
"79","0003051",1,3
"80","0003051",1,4
"81","0003052",1,1
"82","0003052",1,2
"83","0003052",1,3
"84","0003052",1,4
"85","0003054",1,1
"86","0003054",1,2
"87","0003054",1,3
"88","0003054",1,4
"89","0003055",1,1
"90","0003055",1,2
"91","0003055",1,3
"92","0003055",1,4
"93","0003056",1,1
"94","0003056",1,2
"95","0003056",1,3
"96","0003056",1,4
"97","0003057",1,1
"98","0003057",1,2
"99","0003057",1,3
"100","0003057",1,4
"101","0003059",1,1
"102","0003059",1,2
"103","0003059",1,3
"104","0003059",1,4
"105","0003060",1,1
"106","0003060",1,2
